,time,running_objective,current_value,episode_id,iteration_id,throttle action [µm],jet length [mm],jet velocity [mm/s]
0,0.0,3.8960036590372384,0.0038960036590372387,1,1,20.0,-0.04752673435257381,-0.23503066709021048
1,0.0009999999999997715,3.0178922519960554,0.006913895911033294,1,1,18.026891308365492,0.18909478166480162,438.24755937491403
2,0.0019999000000002366,1.320405186888873,0.008234301097922166,1,1,11.890162705120277,0.7772141084341292,646.1356722966551
3,0.0029998999999986346,0.16463849674431144,0.008398939594666479,1,1,4.133866516460738,1.5205462626841442,651.2637159583129
4,0.0039998999999974385,0.0036740133161017817,0.00840261360798258,1,1,0.5324727644254446,1.8656893194845048,494.06775267875844
5,0.004999800000000173,0.1737983434367287,0.008576411951419309,1,1,-4.45005033183516,2.343194244084854,298.0322322302183
6,0.005999700000002908,0.45866807679966626,0.009035080028218975,1,1,-7.166766194328922,2.603553338868427,98.27857912853369
7,0.006999600000005642,0.4748572622183234,0.009509937290437299,1,1,-7.290399288344083,2.615401836124792,8.787530592770484
8,0.007999500000006755,0.5699322251762908,0.01007986951561359,1,1,-7.977403150869713,2.6812415163907297,-13.735125959680566
9,0.008999500000000816,0.4678009893585645,0.010547670504972155,1,1,-7.236775469505026,2.610262745532167,6.355864257094769
10,0.009999499999994877,0.4103757474582237,0.010958046252430378,1,1,-6.784398129431617,2.5669087251915936,5.466194504492927
11,0.0,4.051879209075553,0.004051879209075553,2,1,20.0,-0.08662505967956063,1.4137426234041237
12,0.0009999999999997715,3.265960253219454,0.007317839462295007,2,1,18.75718723105162,0.11910616490156026,422.3420178327232
13,0.0019999000000002366,1.0257432960840303,0.008343582758379037,2,1,10.467951445575846,0.913513101360867,661.6089871577473
14,0.0029998999999986346,0.16396751176135954,0.008507550270140397,2,1,4.125230136429881,1.5213739385254363,638.1092517289758
15,0.0039998999999974385,0.01897866623001192,0.008526528936370409,2,1,-1.537488270573819,2.064066039240163,477.5777557067457
16,0.004999800000000173,0.16783453564880654,0.008694363472019215,2,1,-4.374763881648307,2.3359790942450305,250.44671611928425
17,0.005999700000002908,0.18828413763533391,0.00888264760965455,2,1,-4.627707184268508,2.3602201605305977,72.30032287359201
18,0.006999600000005642,0.40482098885448614,0.009287468598509036,2,1,-6.739004703339284,2.562558402255843,-1.9870453742021748
19,0.007999500000006755,0.4714411712262049,0.00975890976973524,2,1,-7.264488982174742,2.6129186968488196,-1.1037442279188179
20,0.008999500000000816,0.3985707820067809,0.010157480551742022,2,1,-6.687554102068294,2.5576275840727853,11.88282210004001
21,0.009999499999994877,0.3603083376205722,0.010517788889362594,2,1,-6.363377986468977,2.5265598521935972,-13.83828204264405
22,0.0,3.7453429482853724,0.0037453429482853726,3,1,20.0,-0.008985894794613192,-5.040722914686485
23,0.0009999999999997715,2.7748136653515023,0.006520156613636875,3,1,17.281545032658357,0.26052576358032853,443.03560309451075
24,0.0019999000000002366,1.2951675532244045,0.00781532416686128,3,1,11.77502256514189,0.7882486752181982,640.1525050477372
25,0.0029998999999986346,0.3138838690647906,0.00812920803592607,3,1,5.745961680085776,1.3660495619798192,626.3866795298719
26,0.0039998999999974385,0.00061637938541617,0.008129824415311486,3,1,-0.3590571112298857,1.9511299482240392,522.7472748865282
27,0.004999800000000173,0.1298510864188534,0.008259675501730339,3,1,-3.860055535199316,2.2866515215646848,302.403532076157
28,0.005999700000002908,0.2502388307755863,0.008509914332505926,3,1,-5.319739348245864,2.426541732934151,97.8807907460434
29,0.006999600000005642,0.6672884700792332,0.009177202802585159,3,1,-8.623702358241587,2.743180226623099,32.78928567526567
30,0.007999500000006755,0.24431253884229545,0.009421515341427454,3,1,-5.257560653593458,2.420582777535825,0.03942270451946528
31,0.008999500000000816,0.48753785990719994,0.009909053201334655,3,1,-7.385773049687878,2.624542072876228,16.03546010757285
32,0.009999499999994877,0.4939148966421459,0.0104029680979768,3,1,-7.433267512386821,2.6290937506892247,-4.43750360460202
33,0.0,3.691953618859029,0.003691953618859029,4,1,19.949317060732913,0.0048572485517262886,4.290291967013311
34,0.0009999999999997715,3.4785418001956514,0.0071704954190546805,4,1,19.361220747500123,0.061218028077007824,428.25193778247774
35,0.0019999000000002366,1.0152051872336083,0.00818570060628829,4,1,10.413525676584229,0.9187290476227443,686.1371742730337
36,0.0029998999999986346,0.2801354821647442,0.008465836088453034,4,1,5.422751799112002,1.3970246938282391,645.6077424841608
37,0.0039998999999974385,0.03057312423188452,0.008496409212684918,4,1,-1.924489532835123,2.101154679871857,505.6904312043794
38,0.004999800000000173,0.18280981367985588,0.008679219026364773,4,1,-4.561400572097973,2.353865602160611,261.8221579684157
39,0.005999700000002908,0.21792117614251602,0.00889714020250729,4,1,-4.971034243778498,2.3931232416598385,53.117297915899826
40,0.006999600000005642,0.45620899699243395,0.009353349199499724,4,1,-7.1477970338225605,2.6017354110069144,-13.638306266692798
41,0.007999500000006755,0.5681931840396395,0.009921542383539364,4,1,-7.965375760965667,2.680088859835343,7.590457018636679
42,0.008999500000000816,0.2869553569612262,0.01020849774050059,4,1,-5.689573019847698,2.4619851008947413,17.947254093674207
43,0.009999499999994877,0.5142900382490551,0.010722787778749646,4,1,-7.582996148698884,2.6434431395051767,9.184138371692054
44,0.0,3.1770044379360014,0.0031770044379360015,5,1,18.498605233784634,0.14388762094752358,11.768914251210687
45,0.0009999999999997715,2.7759645882771173,0.005952969026213119,5,1,17.285149372828407,0.26018033815070524,406.45793487598127
46,0.0019999000000002366,1.206069233039648,0.007159038259252767,5,1,11.359286694611384,0.8280911248518619,609.9563204549406
