,time,running_objective,current_value,episode_id,iteration_id,throttle action [µm],jet length [mm],jet velocity [mm/s],piston position [µm],piston velocity [µm/s],throttle position [µm]
0,0.0,3.710643090512779,0.003710643090512779,1,1,19.99999997896318,0.0,0.0,1000.0,0.0,0.0
1,0.0009999999999997715,2.5410004006756357,0.006251643491188415,1,1,19.999999886615683,0.3322513914122518,425.031195807865,1000.090455441312,115.71474305869124,7.721038777662886
2,0.0019999000000002366,1.2354628044292164,0.007487106295617631,1,1,1.0888894779293097,0.8147892145739475,720.6009451273015,1000.2218263636678,196.1836073109078,13.111706898918083
3,0.0029998999999986346,0.43389677991662445,0.007921003075534255,1,1,-0.512018863488517,1.2675945411923017,448.42747774417705,1000.3451026138396,122.08438081585219,8.146853283866696
4,0.0039998999999974385,0.08501127288504695,0.008006014348419303,1,1,-3.6238199682094305,1.6347360322317974,260.90262048411375,1000.4450568847751,71.03073842679996,4.736941216917342
5,0.004999800000000173,0.10044438193626101,0.008106458730355563,1,1,6.837710553996351,1.6093733424799115,85.74744385619533,1000.4381518924902,23.344741589849175,1.5563737636123682
6,0.005999700000002908,0.014453813903397483,0.00812091254425896,1,1,-5.038366192735809,1.8060789436695894,195.83205738426616,1000.491704992414,53.31527762286646,3.5550134497734565
7,0.006999600000005642,0.04824270909541468,0.008169155253354375,1,1,-0.5861062626208656,2.145945188934821,27.610925437240503,1000.5842335776875,7.517074450288726,0.501140981837158
8,0.007999500000006755,0.07358757939858002,0.008242742832752954,1,1,-0.7453455818485216,2.197573266058498,5.838898790350046,1000.5982893216844,1.5896401956728,0.10597620977729744
9,0.008999500000000816,0.014858932550833993,0.008257601765303789,1,1,-0.0004827453687946191,2.048200180431165,-15.11984969900189,1000.5576224991224,-4.116379080553264,-0.25677329978041336
10,0.009999499999994877,0.0211393061840949,0.008278741071487884,1,1,-0.4052252882035882,2.071696584148964,7.45524552577253,1000.5640193950345,2.029690594391571,0.135312971465862
11,0.0,3.304135088605353,0.003304135088605353,2,1,19.999999976096678,0.10857495735014776,3.751564516487483,1000.0295595321386,1.0213634396137172,0.06809101582326607
12,0.0009999999999997715,2.9562872269785796,0.006260422315583932,2,1,19.999999908616395,0.2069172470700333,438.33938430982494,1000.0563332205148,119.33789737834984,7.963233605226624
13,0.0019999000000002366,1.5397835218826155,0.007800205837466548,2,1,6.879868598193947,0.6854228191568896,700.8537653170773,1000.1866063625155,190.8074376075743,12.750667327300956
14,0.0029998999999986346,0.2800428118179034,0.00808024864928445,2,1,-11.97780260069894,1.3971122451392803,586.5893265583669,1000.3803638087392,159.69894415551536,10.664272415667847
15,0.0039998999999974385,0.03120804012402023,0.00811145668940847,2,1,0.9992815954854003,1.7496449841915143,99.41963682142097,1000.4763408469462,27.066996124631856,1.804555227288676
16,0.004999800000000173,0.0783056760903135,0.008189762365498784,2,1,5.703607954194049,1.6464714454166554,81.82907187110646,1000.4482518510147,22.277964816908735,1.4852479877521172
17,0.005999700000002908,0.005448876206770085,0.008195211241705554,2,1,-2.9105963518109843,1.8524864555508742,160.30616322628876,1000.5043394375238,43.64335293835711,2.909921365381571
18,0.006999600000005642,0.0011591897143109898,0.008196370431419865,2,1,-1.704412106568825,1.9603498344217964,41.20410346163706,1000.5337052424213,11.217817167430688,0.7478618485938803
19,0.007999500000006755,0.0003720307798135816,0.008196742462199678,2,1,-7.638602611839611e-05,1.945591058606452,-7.544406646626478,1000.5296871657056,-2.0539647095440587,-0.12812301894554076
20,0.008999500000000816,0.001557677148943663,0.008198300139348622,2,1,-0.0001563015163806397,1.9657703779994604,-8.411314948319152,1000.5351809854103,-2.289980494679889,-0.14284531278712662
21,0.009999499999994877,0.00024553661482789837,0.00819854567596345,2,1,-6.205582297295519e-05,1.941972567170014,-11.44736353666252,1000.5287020314121,-3.116544722856371,-0.19440511383131387
22,0.0,3.9810988863579366,0.0039810988863579365,3,1,0.007901798900480953,-0.06896616712651367,-7.304703350235552,999.9812239609998,-1.9887054871016288,-0.12405225162794566
23,0.0009999999999997715,4.104937303637887,0.008086036189995822,3,1,0.008023757157932734,-0.09976152737328689,-5.419101145967461,999.9728399241726,-1.475350286989641,-0.09202997012066672
24,0.0019999000000002366,3.915862477572682,0.012001898667568504,3,1,0.007836790100126192,-0.05255087008744326,-6.593168043192229,999.9856930256187,-1.7949899997590841,-0.1119685862460239
25,0.0029998999999986346,3.7869823986550273,0.01578888106622353,3,1,19.999999979317014,-0.019714101045374594,8.665414832443911,999.9946328359904,2.3591591881328546,0.1572776021790803
26,0.0039998999999974385,3.1487589636279742,0.018937640029851505,3,1,19.999999915190184,0.15182868107444497,443.22389912356493,1000.0413353584225,120.66770653639054,8.052136740829207
27,0.004999800000000173,1.4414467432885367,0.020379086773140043,3,1,5.777315736235362,0.7257003008000478,694.1779067496825,1000.1975719068928,188.98993511260105,12.62864492935555
28,0.005999700000002908,0.15218788926364743,0.02053127466240369,3,1,-11.32377445289792,1.5361902969011407,564.7114010437126,1000.4182278083314,153.74267893415075,10.265281523351968
29,0.006999600000005642,0.20219156793553814,0.02073346623033923,3,1,11.114423602864827,1.4766457920590863,95.79090023186787,1000.4020168168881,26.079072588126024,1.7386844938649257
30,0.007999500000006755,0.005619141314226854,0.020739085371653455,3,1,-12.828718717165216,1.8513420272520615,285.73398578816017,1000.5040278669194,77.7910776308266,5.188117680554498
31,0.008999500000000816,7.936695536092097e-05,0.020739164738608817,3,1,-0.048945618631269,1.9173941458183437,6.838116328583965,1000.522010556199,1.8616771704569843,0.12411204932250415
32,0.009999499999994877,0.04358119710777776,0.020782745935716596,3,1,-0.44637765819956376,2.1350640597332835,0.8107974312114393,1000.5812711902624,0.22073960064731432,0.014715998329207003
33,0.0,3.6174931481419215,0.0036174931481419217,4,1,19.999999978589106,0.02433210026171677,0.4267427578522317,1000.0066244142962,0.11618071582527006,0.007745394170551554
34,0.0009999999999997715,2.9686460813332682,0.00658613922947519,4,1,19.999999909128626,0.20332702163396235,438.5869738342109,1000.0553557816398,119.4053036263639,7.967739853406164
35,0.0019999000000002366,1.2698226045394887,0.007855961834014678,4,1,2.341168113176528,0.7994389014699748,707.9114749247128,1000.2176472409252,192.72889904825303,12.879687259222113
36,0.0029998999999986346,0.3165600608459389,0.008172521894860616,4,1,-4.2453751207319215,1.3636662550311038,452.91443396945846,1000.3712581379323,123.30595464818505,8.228530854428682
37,0.0039998999999974385,0.02710799816991216,0.008199629893030528,4,1,-4.1158635409782445,1.7616578919210033,206.39781872384285,1000.4796113610755,56.19180614756621,3.7468943082444874
38,0.004999800000000173,3.802164544670299e-05,0.008199667914675975,4,1,-0.6789203626313715,1.9324691286020612,20.269606146797706,1000.526114720262,5.518400273465675,0.3678947009840248
39,0.005999700000002908,0.027124448653388984,0.008226792363329363,4,1,5.973625532080373,1.7616079420841655,0.1026986304459383,1000.4795977622324,0.0279597021389067,0.0018639832974010728
40,0.006999600000005642,0.0014674327341413613,0.008228259796063505,4,1,-2.701401872436143,1.8879958745246188,134.13519964238293,1000.5140068768393,36.518308102638755,2.4347686369835113
41,0.007999500000006755,0.0019430407145388919,0.008230202836778043,4,1,-1.5275043116748344,1.9703828946811697,12.467472593010068,1000.5364367430769,3.394269413446991,0.22628517966223333
42,0.008999500000000816,0.0053723608680692585,0.008235575197646113,4,1,-0.21947512890903711,1.999599349724279,7.785393638691579,1000.5443909229624,2.119573418133782,0.14130517487692543
